"x","y","p_avg","ID","SOC","MAP","MAT","SAND","CLAY","PH","BEDROCK","SOIL.TYPE","DEPTH","NPP","SLOPE","ELEVATION","BIOMES","EROIDX","TCEQ","CACO3"
-105.0038147,42.01496506,10.2,1751,12.69999981,349.6619568,7.243114471,560.6209717,160.6226654,7.211959362,3,9,65,65535,3.564187057,1785.053711,10,1.39999997615814,0,168
-105.0038147,42.01496506,14.9,1752,12.69999981,349.6619568,7.243114471,560.6209717,160.6226654,7.211959362,3,9,65,65535,3.564187057,1785.053711,10,1.39999997615814,0,168
-104.9691696,36.4644432,26,1754,7.541999817,421.3261108,9.654980659,430.9921265,231.5018616,7.772671223,1,7,65,2009,2.825619681,2045.474731,10,3.20000004768372,17,137
-104.9483337,36.460556,1,1755,7.541999817,421.3261108,9.654980659,430.9921265,231.5018616,7.772671223,1,7,65,2009,2.825619681,2045.474731,10,3.20000004768372,17,137
-104.9483337,36.460556,36,1756,7.541999817,421.3261108,9.654980659,430.9921265,231.5018616,7.772671223,1,7,65,2009,2.825619681,2045.474731,10,3.20000004768372,17,137
-104.8286133,35.6177788,10,1757,5.144000053,433.4938965,10.09726524,432.3947449,231.0849609,7.700437069,3,7,65,1897,2.672630886,1873.259399,10,1.5,17,38
-104.5883331,33.3441658,1,1759,10.25200009,334.2652893,15.51786613,460.4672546,236.3856812,8.097661018,6,9,65,65535,1.226376191,1307.790649,10,1,36,0
-104.5208359,52.8416672,42,1760,18.64799976,414.7383423,1.057832122,422.7886047,247.0859833,6.770696163,3,9,65,3668,0.31656063,502.8164063,11,1.5,0,33
-103.6558304,41.0322227,46.5,1784,12.69999981,399.7338867,8.566953659,506.703064,177.160202,7.615686417,3,9,65,2439,1.073182894,1489.762695,7,1.39999997615814,27,358
-103.6552811,41.0319443,0.2,1785,12.69999981,399.7338867,8.566953659,506.703064,177.160202,7.615686417,3,9,65,2439,1.073182894,1489.762695,7,1.39999997615814,27,358
-93.5791702,33.9980545,6.3,2982,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.5667,35.4281,5,2983,11.85600042,1210.346436,15.56455994,342.1717529,182.0640106,5.645061493,3,8,65,65535,3.274064415,204.2651215,6,1.39999997615814,0,3
-93.5142,33.6969,11,3035,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.5136,33.8581,5,3036,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.5136,33.8581,8,3037,10.92400074,1311.018311,16.70924568,355.0778503,197.2798615,5.571831226,5,8,65,65535,0.633997079,105.3106232,6,3.20000004768372,0,0
-93.5099335,41.0064049,8,3047,16.79999948,878.8388672,9.853816032,194.5066528,253.9070892,6.13367939,5,9,65,65535,0.757171673,303.6261902,6,1.20000004768372,0,22
-93.5099335,41.0064049,14,3048,16.79999948,878.8388672,9.853816032,194.5066528,253.9070892,6.13367939,5,9,65,65535,0.757171673,303.6261902,6,1.20000004768372,0,22
-92.36889,33.99917,7,3212,9.800000191,1350.008301,16.82195473,344.5997314,153.6182556,5.121402264,1,8,65,2186,0.373172168,61.1739006,5,1.20000004768372,0,0
-92.3675003,40.0041656,19,3213,13.70799899,960.7449951,11.03791428,169.9911194,238.5028229,6.07075882,6,9,65,5729,0.449258345,241.7689972,6,1,0,6
-92.125,33.75028,7,3269,9.800000191,1350.008301,16.82195473,344.5997314,153.6182556,5.121402264,1,8,65,2186,0.373172168,61.1739006,5,1.20000004768372,0,0
-92.125,33.75028,13,3270,9.800000191,1350.008301,16.82195473,344.5997314,153.6182556,5.121402264,1,8,65,2186,0.373172168,61.1739006,5,1.20000004768372,0,0
-90.8408,35.6292,8,3958,10.52399993,1215.390869,15.71920586,216.7559967,191.720459,5.835303783,1,11,65,4765,0.210976715,80.26147461,5,3.20000004768372,0,2
-90.8408,35.6292,13,3959,10.52399993,1215.390869,15.71920586,216.7559967,191.720459,5.835303783,1,11,65,4765,0.210976715,80.26147461,5,3.20000004768372,0,2
-90.1844,35.9756,54,4310,9.704999924,1238.974121,15.74622536,316.6650391,254.6792908,6.073615074,1,10,65,65535,0.04252359,75.1184082,5,3.20000004768372,0,0
-89.9375,35.5444,22,4402,11.69999957,1266.564697,15.58539963,262.6400452,222.615448,6.02675581,1,11,65,65535,0.280637589,87.19726563,5,3.20000004768372,0,326
-89.9375,35.5444,29,4403,11.69999957,1266.564697,15.58539963,262.6400452,222.615448,6.02675581,1,11,65,65535,0.280637589,87.19726563,5,3.20000004768372,0,326
-84.2411423,44.638279,1,6183,20.89999914,732.8814087,6.126356602,615.4274292,125.5750885,5.734019279,5,3,65,5215,0.807515336,339.653656,4,1.20000004768372,0,19
-84.2161102,38.0550003,136,6184,8.600000143,1145.58252,12.26552582,167.352066,198.5698547,6.071635723,6,10,65,7684,0.81657903,260.923584,6,1,0,767
-83.8801727,9.9157696,19.4,6209,74.57300186,2919.601563,16.79553032,371.5161743,321.9486084,5.200746059,10,8,65,65535,11.94015471,1227.569824,13,1.39999997615814,0,0
-83.874527,39.1363907,5.6,6210,8.199999928,1067.678833,11.14795589,222.9219055,211.5672302,6.201144695,6,10,65,65535,0.416073168,296.045929,6,1.20000004768372,0,213
-83.8599701,9.9732885,89.3,6214,74.57300186,2919.601563,16.79553032,371.5161743,321.9486084,5.200746059,10,8,65,65535,11.94015471,1227.569824,13,1.39999997615814,0,0
-83.842954,35.594268,2,6218,10,1366.98584,12.95238495,365.4113464,222.3276825,5.637083054,3,8,65,7787,5.651043549,499.4187012,6,1.39999997615814,0,0
-83.84,38.7515,0.7,6219,8.216000199,1115.195313,11.72113895,183.5040436,196.0680695,5.963496685,5,10,65,6973,1.106740279,259.2537537,6,1.20000004768372,0,634
-76.5513916,39.3065262,25.1,6826,9.089999795,1130.173096,12.67535686,406.2965698,171.0893097,5.733683109,4,8,65,65535,1.022265001,97.82984161,6,1.5,0,720
-76.5513916,39.3065262,99.4,6827,9.089999795,1130.173096,12.67535686,406.2965698,171.0893097,5.733683109,4,8,65,65535,1.022265001,97.82984161,6,1.5,0,720
-75.7595291,39.7190285,15.5,6879,8.177999854,1164.504395,12.0642395,380.6765747,166.7914581,5.682265282,8,8,65,65535,0.962177212,86.43151093,6,1,0,1
-75.7595291,39.7190285,27.2,6880,8.177999854,1164.504395,12.0642395,380.6765747,166.7914581,5.682265282,8,8,65,65535,0.962177212,86.43151093,6,1,0,1
-75.7572784,40.1982231,4.4,6881,9.390000105,1154.744141,10.92635727,351.4525146,179.1624451,5.607038975,3,10,65,65535,2.003643428,141.865036,6,1.5,0,365
-75.7572784,40.1982231,26,6882,9.390000105,1154.744141,10.92635727,351.4525146,179.1624451,5.607038975,3,10,65,65535,2.003643428,141.865036,6,1.5,0,365
-75.7570572,40.1813316,15.4,6883,9.390000105,1154.744141,10.92635727,351.4525146,179.1624451,5.607038975,3,10,65,65535,2.003643428,141.865036,6,1.5,0,365
-75.7570572,40.1813316,16.2,6884,9.390000105,1154.744141,10.92635727,351.4525146,179.1624451,5.607038975,3,10,65,65535,2.003643428,141.865036,6,1.5,0,365
-73.8091965,40.8804169,5,7032,14.13291216,1135.321655,11.69418144,545.7680054,135.3804474,5.7188797,1,11,65,65535,0.839043698,29.98215103,6,3.20000004768372,0,0
-73.4833298,4.0500002,1,7033,18.86299968,3171.612305,25.82157898,420.9544067,296.7198181,5.386884689,1,11,65,15116,2.8169255,481.7517395,13,3.20000004768372,0,0
-73.4833298,4.0500002,3,7034,18.86299968,3171.612305,25.82157898,420.9544067,296.7198181,5.386884689,1,11,65,15116,2.8169255,481.7517395,13,3.20000004768372,0,0
-73.4833298,4.0500002,4,7035,18.86299968,3171.612305,25.82157898,420.9544067,296.7198181,5.386884689,1,11,65,15116,2.8169255,481.7517395,13,3.20000004768372,0,0
-73.4786148,44.2383347,33.9,7039,9.546999931,917.6991577,7.036460876,445.2864075,141.1657715,5.450070381,5,13,65,65535,2.706174199,188.2154999,6,1.20000004768372,0,63
-73.445,-4.063611111,0.6,7040,9.826999903,2583.265381,26.2319355,370.9424438,299.0978699,4.39091444,1,5,65,65535,0.172929025,109.8482895,13,3.20000004768372,0,0
-73.445,-4.063611111,7.1,7041,9.826999903,2583.265381,26.2319355,370.9424438,299.0978699,4.39091444,1,5,65,65535,0.172929025,109.8482895,13,3.20000004768372,0,0
-73.41972222,-3.788055556,0.8,7042,14.22999978,2786.338867,26.13178635,413.2797852,284.3387451,4.452936172,1,5,65,65535,0.171012586,101.8019028,13,3.20000004768372,0,0
-73.3933334,44.2416649,42.7,7046,9.546999931,917.6991577,7.036460876,445.2864075,141.1657715,5.450070381,5,13,65,65535,2.706174199,188.2154999,6,1.20000004768372,0,63
-70.921669,41.8788872,87,7211,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-70.8102798,41.6291656,5,7212,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-70.8102798,41.6291656,6,7213,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-70.8102798,41.6291656,53,7214,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-70.8102798,41.6291656,106,7215,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-70.7822189,41.6733322,46,7216,32.52025127,1233.178955,9.938216209,628.0690308,92.77294159,4.977617741,9,11,65,65535,0.47329451,22.95698166,6,1,0,0
-66.975,18.1280556,1.1,7248,17.2179997,1834.562622,23.81753731,327.2474976,393.4590149,5.645191193,9,8,65,65535,4.646960113,295.9979248,13,1.39999997615814,0,0
-66.975,18.1280556,1.9,7249,17.2179997,1834.562622,23.81753731,327.2474976,393.4590149,5.645191193,9,8,65,65535,4.646960113,295.9979248,13,1.39999997615814,0,0
-66.9684753,18.3570557,7.9,7250,17.2179997,1834.562622,23.81753731,327.2474976,393.4590149,5.645191193,9,8,65,65535,4.646960113,295.9979248,13,1.39999997615814,0,0
-66.9499969,1.8833333,14,7251,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.9499969,1.8833333,67,7252,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.9333344,1.7166667,4,7253,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.9333344,1.7166667,7,7254,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.9333344,1.7166667,11,7255,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.9333344,1.7166667,42,7256,6.940000057,3297.160889,26.52254677,567.7235718,200.1040344,4.42389822,1,11,65,8825,0.088571467,94.09884644,13,3.20000004768372,0,0
-66.8177795,18.1791668,1,7257,17.2179997,1834.562622,23.81753731,327.2474976,393.4590149,5.645191193,9,8,65,65535,4.646960113,295.9979248,13,1.39999997615814,0,0
-66.8177795,18.1791668,75,7258,17.2179997,1834.562622,23.81753731,327.2474976,393.4590149,5.645191193,9,8,65,65535,4.646960113,295.9979248,13,1.39999997615814,0,0
-66.3628082,18.3189449,0.5,7259,18.04545403,1732.320313,24.14500237,350.4767456,378.4478149,5.806616306,2,8,65,65535,4.137430391,253.6418457,13,1.39999997615814,0,0
-66.3628082,18.3189449,1,7260,18.04545403,1732.320313,24.14500237,350.4767456,378.4478149,5.806616306,2,8,65,65535,4.137430391,253.6418457,13,1.39999997615814,0,0
-65.8944473,18.1977787,21,7261,9.210344553,1900.178955,24.91773224,387.676178,354.5349731,5.833994389,12,11,65,65535,3.630662473,149.4659882,13,1.39999997615814,0,0
-65.8944473,18.1977787,147,7262,9.210344553,1900.178955,24.91773224,387.676178,354.5349731,5.833994389,12,11,65,65535,3.630662473,149.4659882,13,1.39999997615814,0,0
-65.8205566,18.2116661,7,7263,9.210344553,1900.178955,24.91773224,387.676178,354.5349731,5.833994389,12,11,65,65535,3.630662473,149.4659882,13,1.39999997615814,0,0
-65.7991638,18.1872215,1,7264,9.210344553,1900.178955,24.91773224,387.676178,354.5349731,5.833994389,12,11,65,65535,3.630662473,149.4659882,13,1.39999997615814,0,0
-58.0515823,-33.7905273,86,7284,25.49787283,1032.713135,17.44279861,395.068512,251.0994415,6.277318001,1,9,65,65535,0.37296592,28.30919647,6,3.20000004768372,0,84
-58.0515823,-33.7905273,87,7285,25.49787283,1032.713135,17.44279861,395.068512,251.0994415,6.277318001,1,9,65,65535,0.37296592,28.30919647,6,3.20000004768372,0,84
-58.0453339,-32.3832512,24,7286,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,1.5,17,73
-58.0453339,-32.3832512,31,7287,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,1.5,17,73
-58.0447235,-32.3844719,45,7288,20.40400028,1164.683838,18.16778755,317.515686,265.4372559,6.269905567,3,6,65,65535,0.391248696,30.91864204,6,1.5,17,73
-57.8090286,-34.3423615,82,7289,25.20978212,1122.429077,17.11232185,388.0230103,255.9122467,6.341917038,8,6,65,65535,0.681462154,61.38302231,6,1,0,0
-57.6523895,-33.192585,18,7290,27.14900017,1175.033569,17.61839104,369.4665833,264.9486694,6.274997234,1,9,65,65535,0.509629945,63.70836639,6,3.20000004768372,0,84
-57.6523895,-33.192585,19,7291,27.14900017,1175.033569,17.61839104,369.4665833,264.9486694,6.274997234,1,9,65,65535,0.509629945,63.70836639,6,3.20000004768372,0,84
-57.634861,-31.4008331,42,7292,28.28400135,1357.150024,18.91330338,403.1576843,272.8327637,6.175320148,2,12,65,65535,0.49894888,57.23046112,6,1.39999997615814,16,0
-57.634861,-31.4008331,43,7293,28.28400135,1357.150024,18.91330338,403.1576843,272.8327637,6.175320148,2,12,65,65535,0.49894888,57.23046112,6,1.39999997615814,16,0
-57.6211128,-31.8453617,19,7294,16.47800088,1299.054199,18.47942162,375.4464722,278.5956116,6.153376579,3,9,65,5924,0.631216055,63.22999954,6,1.5,0,0
-57.6211128,-31.8453617,22,7295,16.47800088,1299.054199,18.47942162,375.4464722,278.5956116,6.153376579,3,9,65,5924,0.631216055,63.22999954,6,1.5,0,0
-57.5863876,-30.4669991,39,7296,16.0010004,1423.107178,19.87651253,417.8815918,243.7001648,6.067028046,3,10,65,65535,0.298844612,61.41589737,6,1.5,17,73
-57.5863876,-30.4669991,47,7297,16.0010004,1423.107178,19.87651253,417.8815918,243.7001648,6.067028046,3,10,65,65535,0.298844612,61.41589737,6,1.5,17,73
-57.1443329,-31.2570839,10,7298,37.78800249,1375.91748,18.79642868,376.3323364,305.8470764,6.065842628,2,12,65,6222,0.546229381,107.0908203,6,1.39999997615814,16,0
-57.1443329,-31.2570839,20,7299,37.78800249,1375.91748,18.79642868,376.3323364,305.8470764,6.065842628,2,12,65,6222,0.546229381,107.0908203,6,1.39999997615814,16,0
-56.8618317,-33.6644173,17,7300,33.89199972,1258.974976,16.96743393,386.6116943,278.1500854,6.263848305,8,6,65,7038,0.707321668,115.3325729,6,1,0,0
-56.8618317,-33.6644173,18,7301,33.89199972,1258.974976,16.96743393,386.6116943,278.1500854,6.263848305,8,6,65,7038,0.707321668,115.3325729,6,1,0,0
-55.8230286,-31.71175,1,7302,12.40200043,1308.755249,18.16627312,431.259552,264.0793152,5.557008743,1,10,65,6920,0.803429222,146.071106,6,3.20000004768372,0,0
-55.6531944,-31.2015839,17,7303,11.25100017,1422.511108,18.20469856,451.3511047,274.5208435,5.361385345,5,12,65,6788,1.413037773,201.0906372,6,3.20000004768372,0,0
-55.6531944,-31.2015839,22,7304,11.25100017,1422.511108,18.20469856,451.3511047,274.5208435,5.361385345,5,12,65,6788,1.413037773,201.0906372,6,3.20000004768372,0,0
-55.5761108,-33.0455284,38,7305,36.36700153,1238.831665,16.98034096,405.9707642,275.7941589,6.155451775,3,6,65,7299,0.492824053,133.082016,6,1.39999997615814,0,0
-55.5761108,-33.0455284,45,7306,36.36700153,1238.831665,16.98034096,405.9707642,275.7941589,6.155451775,3,6,65,7299,0.492824053,133.082016,6,1.39999997615814,0,0
-54.6718063,-32.3279457,17,7307,14.90100026,1296.41333,17.7347641,367.60495,273.8959656,6.273304939,3,9,65,7498,0.541341204,132.7824097,6,1.39999997615814,0,0
-54.6718063,-32.3279457,20,7308,14.90100026,1296.41333,17.7347641,367.60495,273.8959656,6.273304939,3,9,65,7498,0.541341204,132.7824097,6,1.39999997615814,0,0
-54.668026,-32.8090553,66,7309,33.42000008,1289.998657,16.76136017,466.7302551,251.3032684,5.513443947,8,9,65,7622,1.295134996,188.8468781,6,1,0,1
-54.4931946,-33.2566681,42,7310,24.66400146,1314.568359,16.99357033,406.813324,246.0429077,5.954896927,9,9,65,65535,0.550158697,59.65642929,6,1,0,6
-54.4931946,-33.2566681,48,7311,24.66400146,1314.568359,16.99357033,406.813324,246.0429077,5.954896927,9,9,65,65535,0.550158697,59.65642929,6,1,0,6
-53.932415,-33.2378616,80,7312,18.51800084,1257.051392,17.16002846,385.7122498,246.8478394,6.459320545,1,10,65,65535,0.052003141,13.35937023,6,1.20000004768372,0,0
-53.932415,-33.2378616,99,7313,18.51800084,1257.051392,17.16002846,385.7122498,246.8478394,6.459320545,1,10,65,65535,0.052003141,13.35937023,6,1.20000004768372,0,0
-8.8500004,32.3499985,11,7350,7.63899982,329.9322205,18.40216255,416.1706848,287.1423035,7.92256403,6,11,65,65535,1.248050228,253.2241974,7,1,84,550
-8.8500004,32.3499985,74,7351,7.63899982,329.9322205,18.40216255,416.1706848,287.1423035,7.92256403,6,11,65,65535,1.248050228,253.2241974,7,1,84,550
-7.983333,12.666667,3,7352,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,4,7353,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,5,7354,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,6,7355,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,7,7356,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,8,7357,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,9,7358,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,18,7359,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.983333,12.666667,70,7360,9.973999858,834.8452759,27.45525551,477.1861877,228.8074646,6.029399395,1,12,65,65535,1.001960715,369.9414368,12,3.20000004768372,0,180
-7.5594444,5.5475001,4.3,7361,7.048000097,2074.518799,25.64489746,593.3845825,201.794632,4.916899681,8,8,65,7290,0.78920176,199.3810425,13,1,0,0
-7.5594444,5.5475001,4.5,7362,7.048000097,2074.518799,25.64489746,593.3845825,201.794632,4.916899681,8,8,65,7290,0.78920176,199.3810425,13,1,0,0
-7.480278,5.4444442,5.1,7363,8.889999986,1947.340332,25.73220444,613.6746216,201.6519012,5.017329216,8,8,65,7043,1.082961339,132.1980286,13,1,0,90
-7.480278,5.4444442,81.4,7364,8.889999986,1947.340332,25.73220444,613.6746216,201.6519012,5.017329216,8,8,65,7043,1.082961339,132.1980286,13,1,0,90
-7.3833332,33.1500015,16,7365,7.940999866,408.3794556,17.24575043,362.2201538,321.6439819,7.510129929,4,10,65,65535,1.741107131,373.5865479,7,1.5,95,80
-7.3833332,33.1500015,55,7366,7.940999866,408.3794556,17.24575043,362.2201538,321.6439819,7.510129929,4,10,65,65535,1.741107131,373.5865479,7,1.5,95,80
-6.7666667,23.9666667,19,7367,3.623000085,12.35666656,27.8508625,818.0304565,113.9527359,7.954755306,3,12,65,65535,0.407549932,311.0601501,10,1.39999997615814,80,480
-5.45,14.9,11,7368,8.925999999,372.550293,28.52537918,698.8143311,143.4546356,6.240072727,1,10,65,675,0.0085071,271.4445801,12,3.20000004768372,0,180
-2.5307221,5.0713611,4.6,7372,6.161855459,1862.441528,26.62705994,613.8972778,209.2009735,5.047273159,8,5,65,65535,1.021648985,59.57323074,13,1,0,0
-2.5307221,5.0713611,7.5,7373,6.161855459,1862.441528,26.62705994,613.8972778,209.2009735,5.047273159,8,5,65,65535,1.021648985,59.57323074,13,1,0,0
-1.8523056,37.6661111,9,7374,8.77399981,353.2763977,15.29758644,388.3242188,243.3984985,7.691199303,5,11,65,65535,4.735207725,622.6993408,5,1.20000004768372,84,577
-1.65,6.6727777,0.4,7375,10.31999946,1335.501099,25.69590759,589.8740845,197.5510101,5.459433079,8,8,65,65535,1.277011467,268.3270569,13,1,0,0
-1.65,6.6727777,2.7,7376,10.31999946,1335.501099,25.69590759,589.8740845,197.5510101,5.459433079,8,8,65,65535,1.277011467,268.3270569,13,1,0,0
-1.65,6.6727777,15.8,7377,10.31999946,1335.501099,25.69590759,589.8740845,197.5510101,5.459433079,8,8,65,65535,1.277011467,268.3270569,13,1,0,0
-1.5577778,37.2388889,4,7378,6.11864388,277.1633301,17.0592289,386.3813171,262.6566772,7.716707706,1,10,65,65535,4.807241382,360.0910034,0,NA,NA,1430
-1.4836389,7.3198609,3.6,7379,10.64599991,1223.230591,26.01048279,646.4248047,144.9663086,5.855854511,8,11,65,65535,1.461152341,210.1078186,13,1,0,90
-1.4836389,7.3198609,10.1,7380,10.64599991,1223.230591,26.01048279,646.4248047,144.9663086,5.855854511,8,11,65,65535,1.461152341,210.1078186,13,1,0,90
